name,website
KBW Personal Services GmbH	https://kbw-services.eu/
Praxis für Ergotherapie Barbara Freitag-Herse	www.ergotherapie-ostheim.de
Safe Guard Academy GmbH	keine (wird in Kürze erstellt)
Be You – live Your essence - Sylvia Walukiewicz	https://beyou-lye.ch/
Brandschutzheld André Leiber	https://brandschutzheld.com
Tactical Group	www.tacticalgroup.ch
Chalos Consulting	https://chalos-consulting.de/
TaBa-Swim	https://www.taba-swim.ch/
HYGATEC Schädlingsbekämpfung (?)	https://www.hygatec.de/ (?)
Karma Marketing GmbH - Gernot Krickl	https://karmamarketing.io/
M.I. GIC KG - Ivana Gičová
SAfE Spektrum Akademie für Ergotherapie GmbH - Vivien Victoria Semper	www.spektrum-akademie.berlin
INREPO Institut für Resilienz und Potenzialentfaltung - Harald Müller	https://inrepo.de/
Südbrookmerland Touristik GmbH - Sonja Henning	https://www.grossesmeer.de/
Autismus verstehen e.V. - Reinhold Haussmann	https://autismus-verstehen.de
Besser-Siegmund-Institut GmbH - Lola Ananda Siegmund	www.besser-siegmund.de
STEGMANN Training & Beratung - Felix Stegmann	https://www.felixstegmann.de/
Studierendenschaft der FernUniversität in Hagen - Pascal Gluth	https://www.fernstudis.de/
Pioneer Institut GmbH	www.pioneer-institut.com/
Skilful Space	https://dev.skilfulspace.de/
IJOS GmbH	https://www.ijos.net/
Ambulanz- Rettung und Zivilschutz gGmbH	https://aicher-ambulanz.de/
Rotensteintrüffel	https://xn--rotensteintrffel-uzb.de/
Hundeschule im Ländle	https://hundeschule-im-laendle.de/
ISPA e.V.	www.ispa-institut.de
Güteschutz Beton- und Fertigteilwerke baden-Württemberg e.V.	https://www.betonservice.de/
Eigenlob GbR	https://www.eigenlob-keramik.de/
Praxis Dr. med. Johannes Ladwig	www.dr-ladwig.com
Aktivsportwelt e.V. - Susanne Faßbender	www.aktivsportwelt.de
Limomade - Monique Harning	www.limomade.de
Nafrelli (Diana`s Kräuterweg)	https://www.dianas-kraeuterweg.de/
Die Vielfalter - Experten für Teilhabe gGmbH	www.teilhabe-experten.de
Haircare GmbH (Sassoon Salon) - Daniel Labisch	https://www.sassoon.com
ich schaff´s - Carolin Wrobel	https://ichschaffs.de
‼️ Soul Flow Expansions FZ-LLC - Nadia Schlenkrich
